tweet_text_cleaned,user_description_cleaned,source,original_tid,u_id,label,is_synthetic,model
New Listing: Smal Mahogany & Maple reproduction chest {{URL}} {{URL}},"Antiques to Vintage is a leading online marketplace, bringing buyers and sellers from all over the world together in one place.",follower_114,t_544871127533645824,672,0,0,original
Forest Service says it started all of New Mexico's largest wildfire {{URL}},Total Ocean Devotion,follower_31,t_1530584351871709184,578,0,0,original
RT {{MENTION}}_Creatives: “{{MENTION}}: It's the big double today! #BizHour at 2pm & #NorthWestHour at 9pm Hope to see you there :)” #excited,"Stockist of quality candles and bath & body care, including some of the UK's best brands. {{URL}}",follower_107,t_464740386540621824,950,0,0,original
RT {{MENTION}}: 31 years since my dad sent me to the shop for a tin of red and white striped paint and the shopkeeper sent me back to ask him…,"in a world of cannibals, some of us are just the catering",follower_37,t_1509902262524469250,343,0,0,original
{{MENTION}} {{MENTION}}_MR {{MENTION}}_TFB {{MENTION}} {{MENTION}} {{MENTION}}_Lovee_ {{MENTION}}___R {{MENTION}} {{MENTION}} {{MENTION}} ✦☆🔻◄◃◁#ᵀᶠᴮ▷▹►🔻☆✦ ┊┊☆ ✦ ┊💥 ┊✦☆ ✦ ┊💥 ┊✦☆ ✦ ┊ ┊✨,ƬoƊ♥$ Mï∈nTƐƝ⋆.ೃ࿔*🇦🇷🇮🇹#ＦＯＬＬＯＷＭＥ #ｍｕｓｉｃ #ＴｗｉｔｔｅｒＡｒｔ #ＴｈｅＷａｌｋｉｎｇＤｅａｄ ☆#ＨｏｕｓｅＭＤ #ｃａｔｓ #ᶜᴱᴿᴬᵀᴵ 🎶ᴮᵘˢᶜᵃⁿᵈᵒ ᵘⁿ ˢᵒⁿᶦᵈᵒ ᑫᵘᵉ ᵐᵉ ˡˡᵉᵛᵉ ᵈᵒⁿᵈᵉ ᑫᵘᶦᵉʳᵃ ᑫᵘᵉ ᵛᵃʸᵃˢ🎶,follower_59,t_1018204206707236865,449,0,0,original
RT {{MENTION}}: #DebtForClimate #G7Summit #ScientistsRebellion {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}}_ {{MENTION}}…,"#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1541840396434542592,169,0,0,original
RT {{MENTION}}: {{MENTION}} QUE? ME QUERES MATAR SOS UNA DIOSA!🔫❤️😱 {{MENTION}} {{URL}},Youtuber Orgullosamente Venezolana Ig: pereiramafer44,follower_114,t_757292253631086597,188,0,0,original
RT {{MENTION}}: Your daily guide to what’s on at #EdFringe featured in tomorrow’s paper and here {{URL}} #scotpapers {{URL}},"This account is no longer active. Follow {{MENTION}} for art world news, features and reviews from {{MENTION}}.",following_31,t_497154221343780864,193,0,0,original
"Bill Thomas is heading out ‘on patrol’ again, this month to the North of England… {{URL}} {{URL}}","Est. for over 39 years, Gun Mart is the broadest based & most popular shooting magazine in the UK, covering all forms of shooting sports, bushcraft & militaria.",follower_32,t_956809441491419136,216,0,0,original
‘Porthmeor’ in {{URL}} {{URL}},"Artist / Traveller painting secluded coves and translucent waters..in search of the perfect beach so, living in St Ives {{URL}}",follower_31,t_958324950989004800,287,0,0,original
